smiles,refcode
CCOc1ccc(cc1)C1C(=C(C)NC(=C1C(=O)OC)C)C(=O)OC,HUDHEU
N#Cc1cnc2ccccc2n1,HUDZAI
NNC(=O)COc1ccccc1,HUFDOC
COC(=O)COC(=O)c1ccc2C(=C(Oc2c1)C(=O)OC)O,HULKII
CC1CCC23OC(=O)C4(O)OC(CC124)C1(O)C(=O)OCC31C,HUNNOU01
CC1(C)COC(=O)C=C1C(O)=O,HUXJOZ
CC1=CC(C)(C(=C1C)C)C1(C)C=C(C)C(=C1C)C,IBINAI01
O=C1OCCCCCCCCCCC#Cc2cccc1c2,IDOPUM
CC1(CC(C1)C(=O)C1=Cc2c(O1)ccc1ccccc21)c1ccccc1,IDUNIF
CCC1C2CCCCN3CCC(C4C(C)C(=O)OC14)C23,IFEBOL
CC(C(O)c1ccccc1)N(C)Cc1cccnc1,IFOQIE
O=C1C2CCN(CC2)C1=CC1=CN(Cc2ccc(cc2)C#N)c2ccccc12,IFUNON
CON(OC(C)=O)C(N)=O,IHANOV
OC1=C(Oc2ccccc2C1=O)C1=CC=CO1,IJUCEW
Oc1ccccc1C1(C2CC3CC(C2)CC1C3)N1C=CN=C1,IJUYUI
CC(C)CN1C=Nc2c(NN)nc3ccccc3c12,IKABIG
COC(=O)C(C)(C(C#N)c1ccccc1)c1ccccc1,IKADAZ
OC1OC23C4C5CCC(C4OC42CC2CCC4C=C2)C3C15,IKUZOE
CCCCNC1=CC(=C2C(=O)C(=CC(=C2C1=O)O)NCCCC)O,ILISEB
Cc1cc([N+]#[C-])c(C)cc1[N+]#[C-],IMIJUJ
OC(=O)CC1=CNc2ccccc12,INACET04
Cc1c(c(O)cc2C(=O)c3cccc(O)c3C(=O)c12)C(=O)OC(C)(C)C,IPOKAA
CC(C)c1ccc(O)cc1,IPRPOL01
[N+]CC(O)C(=O)[O-],IPUMUC
C(CCN1N=CN=N1)CN1N=CN=N1,IQEJAP
CCOC(=O)c1ccnc(c1)c1cc(ccn1)C(=O)OCC,IQOWUG
COc1ccc(C(O)=O)c(OC)c1,ISUQUI
CC(C)c1cc(C(C)C)c(C(O)=O)c(c1)C(C)C,ITEGEU
N#Cc1cccc(c2ccccc2)c1C#N,IVASEE
CC1(C)CC(C)(C)C2=C1C(=O)C1=C(C2=O)C(C)(C)CC1(C)C,IVIQIO
Cc1ccc(CNc2ncnc3NC=Nc23)cc1,IVOGOQ
CNC1CC2=C(C)C(=O)OC32CC2(C)C(CCC12C)N3,IWOMEN
NC1=NC2OC(CO)C(O)C2O1,IWUGEM
NC1=NC2OC(CO)C(O)C2O1,IWUGIQ01
Cc1ccc(cc1C)N=C1c2ccccc2c2ccccc12,IXATUW
CC(N1C(=O)c2ccccc2C1=O)C(O)=O,IZAMAX
CC1=CN(C2CC3(O)COCOCC3(CO)O2)C(=O)NC1=O,IZUXAC
CC1CCC2(O)C(C1)CC(=O)OC2(C)C,JASJET
OCC(O)C1OC2OC3(CCCCC3)OC2C1O,JAVZIQ
COc1ccc(cc1)c1cc(ncn1)c1cc(ncn1)c1ccc(OC)cc1,JAWFOD
O=C1N(c2ccccc2)C(=NC1=Cc1ccccc1)c1ccccc1,JAXKAV
CCC,JAYDUI
CC(=O)c1ccc2ccccc2c1O,JEDZIC
COc1cccc(O)c1C(C)=O,JEDZOI
CC(C)C(C(C#N)c1ccc2OCOc2c1)N1CCOCC1,JEMPIB
CC(C)C(N)CO,JESTAD
O=C1CC2OC(CO1)C=C2,JINZAI
COC(=O)NNC(=O)OC,JIPFAQ
COC(=O)C1C(C)C(=O)C=C1C1=CC=CO1,JISJAX
COc1ccc(OC)c2C3C(=CCC4=C3C(=O)C=CC4=O)CCc12,JISXOZ
CN(C)C(N(C)C)=C(N(C)C)N(C)C,JOJWOU03
CC1(C(=O)Nc2ccccc12)C(=O)Oc1ccccc1,JOKKUQ
COC(=O)C1(C(=O)N(Cc2ccccc2)c2ccccc12)c1ccccc1,JOKLEB
CC12CC(=O)CC1OC(=O)C=C2,JULFUR
COC(=O)C1CC(NC(=O)N1)C(=O)OC,JULRIR01
c1cc2cccc3c4cc5cccc6cccc(c4cc(c1)c23)c56,KAGGEG
CCOC(=O)C(CC(=O)Nc1ccccc1)C(=O)c1ccccc1,KAWPAA
COc1ccc(cc1)C1=C(OC)C(=O)c2c(O)cc(OC)cc2O1,KAYSAE01
CC(=O)OC1COC(C=C1)C(=C)C(=C)C1OCC(OC(C)=O)C=C1,KEBFIH
CC(C)c1cccc(C(C)C)c1N=C(C)c1ccccn1[O],KEDKAG01
CC1C2C(CCCN3C2CCC3=O)OC1=O,KEGYIF
O=C(C1=CC=CN1)c1ccccn1,KELDUB
COC1=NC(C=C1)=C(C1=CC=CN1)c1ccc(cc1)C#N,KEYJUU
COc1ccccc1C=C1CCC(=C1)c1ccccc1,KIDTIB
CCC(Nc1ccccc1O)=CC(=O)c1ccccc1,KIJPEZ
COc1ccc(c(O)c1)C(=Nc1ccccc1NC(C)=O)c1ccccc1,KOFVAD
Cc1cc2OC(=C(c3ccccc3)c2cc1C)c1ccccc1,KOKRUY
O=N(=O)C1=CNC=N1,KOMHAV01
CC(C)C12OC1C1OC31C1(C)CCC4=C(COC4=O)C1CC1OC31C2=O,KORVES02
OCC1CCCC21CCCC(CC(O)c1ccccc1)N2O,KUKFUS
CN1C(=O)c2ccccc2C(O)(CC2=C(C)N=C(C)O2)C1=O,KUSHUC
CC1=NOC(=C1C)N=Cc1ccccc1O,KUSTAU
CNc1ccncc1,KUTBOR
CCC(=O)N1N=C(N=NC1C)c1ccc(OC)cc1,KUVDOV
OC(=O)CC1CCC(=O)CC1,KUZQIG
CC(C)N=C1N(C(C)C)C(=NC(C)C)N1C(C)C,LADKUY
NC1=NC2OC(CO)C(O)C2O1,LAKDOR
COc1ccc(C(C)=O)c(O)c1,LAMNAP01
COC(=O)C(C)(O)NC(C)=O,LAQSOM
CCOC(=O)CC1CCCC1(NC(C)c1ccccc1)C(N)=O,LEBNUC
CC(=O)ON=C(C1=CNC=N1)N(=O)=O,LEFFEI
CC(=O)OC1C=CCC(NC(=O)OC(C)(C)C)C1OC(C)=O,LEMFUF
