Brc1ccc2ccc3Sc4ccc5ccc(Br)cc5c4c3c2c1	DANYIB
CCC1=C(CC)C(=O)c2c(ccc3ccc4Oc5ccc6ccc(Br)cc6c5c4c23)C1=O	DANYOH
CCC1=C(CC)C(=O)c2c(ccc3ccc4Sc5ccc6ccc(Br)cc6c5c4c23)C1=O	DANYUN
Brc1ccc2ccc3Sc4ccc5ccc6C(=O)C=C(C(=O)c6c5c4c3c2c1)c1ccccc1	DANZEY
Brc1c2ccccc2c(Br)c2ccccc12	DBANTH12
Clc1ccc2CCc3ccc(Cl)c1c23	DCACNP01
Nc1cc(Cl)ccc1Cl	DCHLAN01
Clc1ccc(Cl)cc1	DCLBEN03
Brc1ccc(cc1)C1CC(=O)CCC1N(=O)=O	DEJTAP
Brc1ccc(cc1)C1CC(=O)CCC1N(=O)=O	DEJTET
Nc1ccc(cc1)N1CCOCC1	DERZAC
Nc1c(C#N)c(cc(c1C#N)C(F)(F)F)c1ccccc1	DESNUK
Fc1cc2c3ccccc3ccc2c2ccccc12	DEXWOU
Cc1cc(C)c(c(C)c1)c1cc(Cl)cc(c1N)c1c(C)cc(C)cc1C	DEZKOK
Oc1ccc(O)c2C(=O)C=CC(=O)c12	DHNAPH17
Clc1ccc(cc1)c1ncc(c2ccccc2)c(n1)C#C	DIWROS
Oc1c(cccc1N(=O)=O)N(=O)=O	DNPHOL02
S1c2ccccc2C2=C1c1cc3cc4ccccc4cc3cc1S2	DOCXIE
CN1c2cc(C#N)c(cc2C(=C1c1ccccc1)Cl)C#N	DOVXUJ
Fc1ccc(cc1)c1ccnc2c1ccc1c(ccnc21)c1ccc(F)cc1	DUBFOX
Brc1ccc2c(NC=C2C=O)c1	DUBKOB
Ic1cccc(C=O)c1	DUBNUL
CC1=CC(C)(C)Nc2ccc(Cl)cc12	DUCSAX
Clc1ccc(cc1)c1cc(c2ccc(cc2)N(=O)=O)c2c(ccc3ccccc23)n1	DUCTEB
Fc1c(F)c(Br)c(F)c(C#Cc2ccccn2)c1F	DUDPUP
Fc1c(I)c(F)c(C#Cc2ccccn2)c(F)c1I	DUDQAW
Fc1cc(Br)c(cc1F)C#Cc1cccnc1	DUDQEA
Cc1ccc2c(c1)C1CCCCC1NS2(=O)=O	DUHRAB
CC1Cc2c(Cl)nc(C)nc2N(C)c2ccc(C)cc12	DUMKON
FC(F)(F)C1(CC(c2ccccc2)c2ccccc12)c1ccccc1	DUMKUT
CC1=C(Cl)C(=O)CC(O1)c1ccc2ccccc2c1	FERHER
CC(C)(C)C1=CC(=O)CC(O1)c1ccc(Cl)cc1	FERHIV
