Cc1cc(Br)ccc1N	ABRTOL
Clc1cc2N=C(C3=CC=C(Br)S3)C(=Nc2cc1Cl)C1=CC=C(Br)S1	PAMZUZ
Fc1ccc(cc1)c1cnc2ccccc2n1	PAWKUV
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	PCPHOL01
FC(F)(F)c1cc(c2cc(c3c(cc(c4ccc1c2c34)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F	PEQVIS
FC(F)(F)c1cc2c(cc(c3c4cc(cc5c(cc(c(c(c1)c23)c45)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F	PEQVUE
FC(F)(F)c1cc2c(cc3c(cc(cc3C(F)(F)F)C(F)(F)F)c2C(F)(F)F)c(c1)C(F)(F)F	PEQWIT
O=C1NC(C(N1)c1ccccc1)c1ccccc1	PESGIE
Clc1c(N2C=CC=C2)c(Cl)c(N2C=CC=C2)c(Cl)c1N1C=CC=C1	PEYFEF
c1ccc2nc3ccccc3nc2c1	PHENAZ01
Brc1cc2nc3c4ccccc4c4ccccc4c3nc2cc1Br	PIMRIO
OC(=O)c1c(F)cc(F)cc1F.NC(=O)c1ccncc1	PIRNOV
ClC1=C(OC(=O)c2ccccc12)c1ccccc1	PITBIF
Fc1cc(C=O)ccc1Cl	PODJUP
Brc1ccccc1c1ccc(cc1)c1ccccc1Br	PORRAQ
CC1(C)SC(=NC1=O)C1=Nc2ccc(O)cc2S1	POZLUM
Cc1nc2ccc(Cl)cc2c(c2ccccc2)c1C1=NN(C(C1)C1=CC=CS1)c1ccccc1	PUGKIM
OC(=O)c1cc2ccccc2nc1Cl	PUKJUB
FC(F)(F)c1ccc(cc1)C1=CC=C(S1)c1ccc(cc1)C1=CC=C(S1)c1ccc(cc1)C(F)(F)F	PUVMAV01
Cc1c(Br)c(C)c(Br)c(C)c1Br	PUZHIB01
Nc1cc(Cl)ccc1C(O)=O	QAJPAU
Oc1c(Br)cc(cc1Br)c1cc(Br)c(O)c(Br)c1	QATKOM
Fc1ccc(cc1)C1=Nc2ccccc2N1c1ccccc1	QECZEF
CC#CN1c2ccccc2Sc2ccccc12	QEDPEW
Clc1ccc(cc1)C1=Nc2ccccc2N1	QERTIR01
Clc1cccc(Cl)c1C=O	QEWXIA
Clc1cc2OC3=C(c4c(O3)ccc3ccccc43)c2c2ccccc12	QEZRES
CC1=CSC2=NC(=CN12)c1ccc(Cl)cc1	QILHEA
Clc1ccc(cc1)C#CC(C1=CNc2ccccc12)c1cccc2ccccc12	QITGUW
BrC1Cc2ccccc2C1N=C=O	QIWHAG
CC1=CNC2=C(C1c1ccccc1)C(=O)c1ccccc1C2=O	QOHRIP
Clc1ccc2N=CC(=O)Nc2c1	QOPJUC
O=C1Cc2cccc(CC(=O)Cc3cccc(C1)c3)c2	QOYSAY
C1CSC2(Cc3cccc(CCc4cccc(C2)n4)c3)S1	QOYSUS
OC(=O)c1c2ccccc2cc2ccccc12	QQQFDJ03
OC(=O)c1c2ccccc2cc2ccccc12	QQQFDJ04
Brc1c2ccccc2cc2ccccc12	QQQFDS02
O1C=CC=C1c1c(C2=CC=CO2)c(C2=CC=CO2)c(C2=CC=CO2)c(C2=CC=CO2)c1C1=CC=CO1	ZUPWOY
CC1=CC=C(O1)c1c(C2=CC=C(C)O2)c(C2=CC=C(C)O2)c(C2=CC=C(C)O2)c(C2=CC=C(C)O2)c1C1=CC=C(C)O1	ZUPWUE
