CC(=O)NCCNC(=O)C	ABAWEG01
COC(=O)C1(CC(=C)C2C1C1CCOC2CC1)C(=O)OC	EFEQIQ
N#CC1C(c2ccccc2)N(C(C1c1ccccc1)C)C	EFILOV
C1CCCN1	EFUMAU01
COC(=O)C1C2CC(N1O)C=C2	EGAFEY
CCC1C(O)CC2C3C1CCCC(=O)N3CC2	EGAMUV
O=C1CCCC2C3N1CCC3c1c(C2)[nH]c2c1cccc2	EGANAC
c1ccc2c(c1)nc1c(c2)C2OCC(O1)C2	EGEPIQ
Clc1nc2ccccc2nc1Cl	EGOSOK
O=C1CC(CC=C2C(=O)OC(CC3(OC(C1)C(=O)C3)C)C2O)C(=C)C	EHMVCT01
Cc1cc(C)c(c(c1Br)C)Br	EJEROA01
OC(=O)C(NC(=O)c1ccccn1)C	EJEXAT
CCNC(=O)NC(=O)CCC(C)C	EKAXOD
CCCNC(=O)NC(=O)CCC(C)C	EKECAY
Cc1ccc(c(c1)O)Cl.Cc1ccc(c(c1)O)Cl	EKENUD
Nc1ccc(c(c1)c1ccc(cc1)c1cc(F)c(c(c1)F)F)c1ccc(cc1c1ccc(cc1)c1cc(F)c(c(c1)F)F)N	ELAQEO
N#Cc1c(C)cc(n(c1=O)C)C	ELOJEV
Cc1nn(c(c1)C)Cc1ccc2c(c1)ccc(c2)Cn1nc(cc1C)C	EMACUR
Cc1ccc2c(c1)Cc1c(O2)c2ccccc2cc1	EMOBIS
COc1ccc2c(c1)Cc1c(O2)cc(cc1C)C	EMOBOY
COc1ccc(c(c1OCc1ccccc1)C=O)N(=O)=O	EMOPIG
CN1CC(=Cc2cccnc2)C(=O)C(=Cc2cccnc2)C1	EMOROO
Nc1ccc(cc1)C1COC1	EMUDEW
Nc1ccc(cc1)CCc1ccc(cc1)O	ENALUA
COC(=O)c1c2CCc3c(c2c(c(c1C(=O)OC)N)C#N)[nH]c1c3cccc1C	ENIHAL
C#CCOC1OC2C(C1O)OC(=O)C2OC(=O)c1ccccc1	ENIJIV
CNC(=O)C1c2ccccc2C(=O)OC1(C)C	EPOMAY
OCC1(ON=C(C1c1ccccc1)CC)C(=O)OCC	EPOVEL
Cn1cc(c2c1cccc2)c1ccc2c(n1)cccc2	EQASEV
CC1(OC1)C1CC(=NN1c1ccccc1)c1ccc(cc1)N(=O)=O	EQIKOF
Brc1cc(Br)c(c(c1O)Br)O	ERIXUY
COC(=O)C1(Cc2ccccc2)N=C(OC21C(=O)N(C)C(=O)c1c2cccc1)C	ERUHIJ
O=CN(c1cc(cc(c1O)C(C)(C)C)C(C)(C)C)C	ESEHAM
Oc1ccc2c(c1)CCC1C2CCC2(C1CCC2=O)C	ESTRON14
Cc1ccc(c(c1)CC1CC2(OC1(O)CCC2)C)C	ESUHAC
COC(=O)C1(CC(=O)c2c(O1)cccc2O)C1C=CC(=O)O1	ETADOT
Cc1oc(=O)c2c(c1C)cccc2O	ETEXEG
Clc1ccc(cc1)n1c(=S)[nH]nc1c1ccco1	ETICOZ
Brc1ccc(s1)c1nc2ccccc2nc1c1ccc(s1)Br	ETIXAG
OCc1nnn(c1)c1ccc(cc1)C(=O)O	EVATUR
C#CCOc1ccc(cc1OC)C=NN=Cc1ccc(c(c1)OC)OCC#C	EVAVAZ
O=C1c2ccccc2C(=O)c2n1ccn2	EVAWEE
CC1CNC(=O)CNC(=O)C(NC(=O)CC(O1)C)C	EVEDEO
O=C(c1ccccc1)C=Cc1cn(nc1c1ccccc1)c1ccccc1	EVEKUM
N#CC1(CCCCC1)C#N	EVEVAD
Nc1ccc(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)Cl	EVIFEU
NC(=O)CNC(=O)C=C	EVOGOM
C#Nc1ccc(cc1)N(=O)=O	EVOSAJ
Cc1nnc(n1N)N	EVUDAB01
C=CCC12C(O)C(=O)CC(c3c1cccc3)c1c2cccc1	EXILON
N#Cc1c(C)n(c2c1cccc2)c1ccc(cc1)Br	EXIPUX
c1ccc2c(c1)cccc2c1cccc2c1nccc2	EXISEK
C=CC1(C)CC(=O)C2(C(=C1)C(O)C1C3C42CC4CCC3(C(=O)O1)C)O	EYOGEF
CCC(C1C(=O)N(OCc2ccccc2)C(C(=O)N1OCc1ccccc1)C(CC)C)C	EYOLAG
C=CC1CC2(C(C1N)c1ccccc1NC2=O)C(=O)OC	EZAZEL
Fc1ccccc1	FACFAQ
Fc1ccccc1F	FACFOE
O=C(NC(C(=O)NCC(=O)O)C)COc1cccc2c1cccc2	FACLIG
CC(C1=CC(=C2C=C(C(=O)C(=C2)C(C)(C)C)C(C)(C)C)C=C(C1=O)C(C)(C)C)(C)C	FADDOD03
CC=C(C(=O)NC)NC(=O)C	FADWEO
OC(=O)C1CC21CC12CC21CC2	FAFDEW
OC1C(CCCC1=Cc1ccccc1)CN1CCOCC1	FALSAN
O=C1CCC23C(C1)CCCC(=O)N3CCC2	FARJAK
O=N(=O)c1cc(cc2c1n1ccccc1n2)C(F)(F)F	FAXVIJ
[NH3+]C(C(=O)[O-])Cc1ccc(cc1)O	FAZHET01
Clc1c(Cl)c(Cl)c2c(c1Cl)[nH]cn2.Clc1c(Cl)c(Cl)c2c(c1Cl)[nH]cn2.Clc1c(Cl)c(Cl)c2c(c1Cl)[nH]cn2.Clc1c(Cl)c(Cl)c2c(c1Cl)[nH]cn2	FAZTAD
O=C1C(=C(C(=O)N1c1ccccc1N)Cl)Cl	FAZWAF
FC(c1ccc(cc1)C1OC(=O)CC1c1ccccc1)(F)F	FEHQEP
CC1CC2C(C2(C)C)C2C(=O)C31C(O)CCC3CC=C2	FEJCIH
FC(c1ccc(cc1)C#CC#Cc1ccc(cc1)C(F)(F)F)(F)F	FELLOY
COc1ccc(cc1)NC=O	FELVIC01
COc1n(C)cnc1N(=O)=O	FICDOK01
O=C1OC2C(C1=C)C1OC31C(C2)(C)CCCC3C	FIFQIU01
O=N(=O)N(CN(N(=O)=O)CN=[N+]=[N-])CN(N(=O)=O)CN=[N+]=[N-]	FIPZIN01
Brc1cc(Cl)c(c(c1)Cl)N.Brc1cc(Cl)c(c(c1)Cl)N	FIWGOI
CCCc1cc2c([nH]1)nccc2	FIXMUV
C#Nc1c(F)c(F)c(c(c1F)F)N.C#Nc1c(F)c(F)c(c(c1F)F)N	FOGFUD
O=C1N(Cc2ccccc2)C(=O)c2c1cccc2	FOLBUE01
Clc1cc(cc(c1N)Br)N(=O)=O	FOMLOJ
